"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U2";"QFN-44-1EP_7x7mm_Pitch0.5mm_Alt_Silk";1;"ATXMEGA-A4U-EPAD";;;
2;"R4,R5,R3";"R_0805";3;"10k";;;
3;"C6,C3,C4,C5";"C_0805";4;"0.1uF";;;
4;"J4,J2";"Pin_Header_Straight_2x09_Pitch2.54mm";2;"";;;
5;"U1";"SOT-23";1;"MCP1700-3302E_SOT23";;;
6;"J1";"CUI_USB_C_Padless";1;"USB_C_Receptacle";;;
7;"J3";"Pin_Header_Straight_1x01_Pitch2.54mm";1;"";;;
8;"REF**,REF**";"MountingHole_2.2mm_M2_DIN965";2;"2.2mm";;;
9;"C1";"C_0805";1;"1uF";;;
10;"C2";"C_0805";1;"10uF";;;
11;"R1,R2";"R_0805";2;"100k";;;
12;"D1";"SOT-23";1;"D_Schottky_x2_KCom_AAK";;;
